STATEMENT OF ACCOUNT
Account Number,XXXXXXXX5566
Account Name,RAMESH KUMAR
IFSC,SBIN0004521
Period,08-03-2026 to 18-03-2026

Txn Date,Narration,Ref/UTR,Debit,Credit,Balance
08-03-2026 22:00:00,UPI/recharge@ybl/PAYMENT,UTR489436093459,1200.00,,640.00
09-03-2026 06:00:00,UPI/salary.acct@oksbi/CREDIT,UTR983209147492,,6500.00,7140.00
09-03-2026 19:00:00,UPI/bmtc@ybl/PAYMENT,UTR118136315843,250.00,,6890.00
10-03-2026 00:00:00,UPI/salary.acct@oksbi/CREDIT,UTR242316285312,,6500.00,13390.00
10-03-2026 17:00:00,UPI/recharge@ybl/PAYMENT,UTR627121735742,250.00,,13140.00
10-03-2026 22:00:00,UPI/salary.acct@oksbi/CREDIT,UTR649952099069,,6500.00,19640.00
11-03-2026 14:00:00,UPI/recharge@ybl/PAYMENT,UTR604061149329,250.00,,19390.00
12-03-2026 08:00:00,UPI/salary.acct@oksbi/CREDIT,UTR952724201563,,4000.00,23390.00
13-03-2026 00:00:00,UPI/recharge@ybl/PAYMENT,UTR725432800274,480.00,,22910.00
13-03-2026 02:00:00,UPI/salary.acct@oksbi/CREDIT,UTR668122218084,,6500.00,29410.00
14-03-2026 20:21:00,IMPS/9988776655/INWARD FROM COMPLAINANT AC XX4471,UTR254408254215,,250000.00,279410.00
14-03-2026 20:32:00,UPI/kirann@okaxis/TRANSFER,UTR962513846190,52000.00,,227410.00
14-03-2026 20:41:00,UPI/mule2@ybl/TRANSFER,UTR834817832334,54000.00,,173410.00
14-03-2026 20:43:00,UPI/gk.enterprise@okhdfcbank/TRANSFER,UTR470859478467,64000.00,,109410.00
14-03-2026 20:53:00,UPI/vjay88@ibl/TRANSFER,UTR463862310394,58000.00,,51410.00
14-03-2026 20:59:00,ATM/CASH WDL/BLR KORAMANGALA S1,ATM349818917,21500.00,,29910.00
14-03-2026 21:08:00,IMPS/9988776655/INWARD FROM COMPLAINANT AC XX4471,UTR565626009725,,180000.00,209910.00
14-03-2026 21:18:00,UPI/mule2@ybl/TRANSFER,UTR346209420548,46000.00,,163910.00
14-03-2026 21:24:00,UPI/gk.enterprise@okhdfcbank/TRANSFER,UTR762761660687,35000.00,,128910.00
14-03-2026 21:34:00,UPI/rs.traders@paytm/TRANSFER,UTR730709732188,40000.00,,88910.00
14-03-2026 21:45:00,UPI/kirann@okaxis/TRANSFER,UTR852375188496,44000.00,,44910.00
14-03-2026 21:50:00,ATM/CASH WDL/BLR KORAMANGALA S1,ATM888581782,14500.00,,30410.00
14-03-2026 21:55:00,IMPS/9988776655/INWARD FROM COMPLAINANT AC XX4471,UTR185450815252,,95000.00,125410.00
14-03-2026 21:59:00,UPI/gk.enterprise@okhdfcbank/TRANSFER,UTR637889903266,20000.00,,105410.00
14-03-2026 22:01:00,UPI/mule2@ybl/TRANSFER,UTR239070606015,23000.00,,82410.00
14-03-2026 22:04:00,UPI/kirann@okaxis/TRANSFER,UTR356341427625,23000.00,,59410.00
14-03-2026 22:14:00,UPI/rs.traders@paytm/TRANSFER,UTR174008284580,24000.00,,35410.00
14-03-2026 22:23:00,ATM/CASH WDL/BLR KORAMANGALA S1,ATM360960529,4500.00,,30910.00

Opening Balance,1840.00
Closing Balance,30910.00
*** This is a system generated statement ***
